# species: Homo sapiens
# support: EXP, IMP, ISS, ISM, TAS, IEA, HMP, HEP, IDA, IGI, ISO, IGC, NAS, HGI, IPI, IEP, ISA, RCA, IC, HDA
# associations retrieved on: 2021-03-22 22:09:17-04
# gofunc built on: 2018-02-21 10:04:34.764444-05
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/goa_human.gaf.gz
#   revision: 2018-02-02 $
#   downloaded on: 2018-02-14 09:47:26-05
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201512-termdb-tables.tar.gz
#   downloaded on: 2015-12-22 05:43:21-05
# translation required: yes
# translation info:
#   authority: ensembl
#     synergizer db built on: 2015-11-17 14:24:21.26681-05
#     synergizer db built from: Ensembl Genes 82 / Metazoa Mart / Plant Mart
#   namespace: hgnc_symbol
#   coverage: 99.8%
# size of "genespace": 2326
# number of attributes: 10840
# NOTE: these associations have been restricted to the genes included
# in the user-supplied gene space.
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
GO:0000002	mitochondrial genome maintenance	LONP1 OPA1 SLC25A4
GO:0002544	chronic inflammatory response	AHCY
GO:0002548	monocyte chemotaxis	CCL3 LGALS3 RPS19
GO:0002553	histamine secretion by mast cell	SNAP23
GO:0002554	serotonin secretion by platelet	SYK
GO:0002562	somatic diversification of immune receptors via germline recombination within a single locus	EXOSC3 EXOSC6 HMGB2 HSPD1 MSH2 MSH6 PRKDC
GO:0002566	somatic diversification of immune receptors via somatic mutation	ADAR MSH6
GO:0002568	somatic diversification of T cell receptor genes	PRKDC
GO:0002573	myeloid leukocyte differentiation	CASP8 CDC42 GLO1 IFI16 IRF4 MAPK14 MYH9 PARP1 SP3 TFRC THOC5
GO:0002576	platelet degranulation	ACTN4 ALDOA ANXA5 CD9 CHID1 CYB5R1 FAM3C FERMT3 FLNA GAS6 MAGED2 MANF NHLRC2 OLA1 PLEK PSAP SCCPDH SOD1 STXBP2 TAGLN2 TEX264 TLN1 TMSB4X TMX3 TUBA4A VCL WDR1
GO:0002577	regulation of antigen processing and presentation	CD74 WAS
GO:0002579	positive regulation of antigen processing and presentation	CD74
GO:0002604	regulation of dendritic cell antigen processing and presentation	CD74
GO:0002606	positive regulation of dendritic cell antigen processing and presentation	CD74
GO:0002625	regulation of T cell antigen processing and presentation	WAS
GO:0002634	regulation of germinal center formation	ADA
GO:0002636	positive regulation of germinal center formation	ADA
GO:0002637	regulation of immunoglobulin production	EXOSC3 EXOSC6 GPI MSH2 MSH6 PRKDC SASH3 SUPT6H TFRC
GO:0002638	negative regulation of immunoglobulin production	PRKDC
GO:0002639	positive regulation of immunoglobulin production	EXOSC3 EXOSC6 GPI MSH2 MSH6 SASH3 TFRC
GO:0002673	regulation of acute inflammatory response	C1QBP CD59 GSTP1 PARK7 PHB
GO:0002674	negative regulation of acute inflammatory response	GSTP1
GO:0002675	positive regulation of acute inflammatory response	PARK7
GO:0002681	somatic recombination of T cell receptor gene segments	PRKDC
GO:0002682	regulation of immune system process	ABCE1 ABI1 ACIN1 ACTB ACTG1 ACTR2 ACTR3 ADA ADAM10 ADAR AP1B1 AP1G1 AP1M1 AP2A1 AP2B1 AP2M1 AP2S1 AP3B1 AP3D1 ARPC1A ARPC2 ARPC3 ARPC5 ATP6V1H B2M BAX BRK1 BST2 C1QBP CADM1 CALR CAMK1D CASP3 CASP8 CBFB CCDC88B CCL3 CD38 CD47 CD48 CD59 CD74 CDC37 CDC42 CDC73 CIB1 CLPTM1 CNOT7 CNPY3 CORO1A CSK CTSB CTSS CUL1 DHX9 DNAJA3 DOCK2 DOCK8 EIF2AK2 EIF6 ELMO1 ERAP1 EVI2B EXOSC3 EXOSC6 EZR FADD FLOT1 FLOT2 FOXO3 GABPA GAS6 GBP1 GLMN GNAS GPI GRB2 HAX1 HCLS1 HMGB2 HMGB3 HSP90AA1 HSP90AB1 HSP90B1 HSPA9 HSPD1 HSPH1 ICAM3 IFI16 IKZF3 IRF4 ITGB1 ITGB7 JAK1 LAMP1 LCP2 LEO1 LGALS1 LGALS3 LGMN LIME1 LPXN LSM14A MALT1 MAPK1 MAPK14 MAPK3 MIA3 MIF MSH2 MSH6 MSN MYO18A MYO1C NCKAP1L NFKB1 NME1 NONO NPLOC4 PAF1 PAK1 PAK2 PARK7 PAWR PHB PHPT1 PLCG1 PNP PQBP1 PRKAR1A PRKCA PRKD2 PRKDC PRMT1 PSMA1 PSMA3 PSMA4 PSMA5 PSMA6 PSMA7 PSMB1 PSMB10 PSMB2 PSMB3 PSMB4 PSMB5 PSMB6 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSMD9 PSME1 PSME2 PSME3 PSMF1 PSPC1 PTK2B PTPN1 PTPN6 PUM1 PURB RAC2 RAF1 RASAL3 RBM14 RBM15 RELA RPS19 RPS27A RPS3 SAMHD1 SART1 SASH3 SCRIB SEC14L1 SFPQ SHC1 SIN3A SKP1 SLAMF7 SLC25A6 SOD1 STAT1 STAT2 STAT3 STK10 STOML2 STX7 STXBP2 SUMO1 SUPT6H SYK TAB1 TBK1 TFRC UBE2K UNC93B1 VAMP8 VAV1 WAS WASF2 WDR5 WDR61 WIPF1 XRCC5 XRCC6 YTHDF2
GO:0002683	negative regulation of immune system process	ADA ADAR BST2 C1QBP CASP3 CCL3 CD59 CD74 CDC73 CIB1 CNOT7 EIF2AK2 EZR FADD GABPA GBP1 GLMN HMGB3 HSPA9 IFI16 IRF4 LEO1 LGALS3 LPXN MIF NME1 NPLOC4 PAF1 PAWR PHPT1 PRKAR1A PRKDC PRMT1 PSMB4 PTK2B PTPN6 RBM15 RPS19 SCRIB SEC14L1 WDR61
GO:0002684	positive regulation of immune system process	ABI1 ACIN1 ACTB ACTG1 ACTR2 ACTR3 ADA ADAM10 AP1G1 AP3B1 AP3D1 ARPC1A ARPC2 ARPC3 ARPC5 B2M BAX BRK1 C1QBP CADM1 CALR CAMK1D CASP8 CCDC88B CCL3 CD38 CD47 CD74 CDC42 CNPY3 CORO1A CSK CTSB CTSS CUL1 DHX9 DNAJA3 DOCK8 ELMO1 EVI2B EXOSC3 EXOSC6 FADD FLOT1 FLOT2 FOXO3 GAS6 GNAS GPI GRB2 HAX1 HCLS1 HMGB2 HSP90AA1 HSP90AB1 HSP90B1 HSPD1 HSPH1 ICAM3 IFI16 LAMP1 LCP2 LGALS1 LGALS3 LGMN LIME1 LSM14A MALT1 MAPK1 MAPK14 MAPK3 MIA3 MIF MSH2 MSH6 MYO18A MYO1C NCKAP1L NFKB1 NONO PAK1 PAK2 PARK7 PHB PLCG1 PNP PQBP1 PRKCA PRKD2 PRKDC PRMT1 PSMA1 PSMA3 PSMA4 PSMA5 PSMA6 PSMA7 PSMB1 PSMB10 PSMB2 PSMB3 PSMB4 PSMB5 PSMB6 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSMD9 PSME1 PSME2 PSME3 PSMF1 PSPC1 PTK2B PTPN6 PUM1 RAC2 RAF1 RASAL3 RBM14 RELA RPS19 RPS27A RPS3 SART1 SASH3 SFPQ SIN3A SKP1 STAT1 STAT3 STOML2 STX7 STXBP2 SYK TAB1 TBK1 TFRC UBE2K UNC93B1 VAMP8 VAV1 WAS WASF2 WIPF1 XRCC5 XRCC6
GO:0002685	regulation of leukocyte migration	ADA ADAM10 C1QBP CALR CAMK1D CCL3 CD74 DOCK8 FADD GAS6 LGALS3 MAPK14 MAPK3 MIA3 MIF MSN NCKAP1L PTK2B RAC2 STK10
GO:0002686	negative regulation of leukocyte migration	ADA MIF
GO:0002687	positive regulation of leukocyte migration	ADAM10 C1QBP CALR CAMK1D CCL3 CD74 DOCK8 FADD GAS6 LGALS3 MAPK14 MAPK3 MIA3 NCKAP1L PTK2B RAC2
GO:0002688	regulation of leukocyte chemotaxis	ADAM10 C1QBP CALR CAMK1D CCL3 CD74 GAS6 MAPK14 MAPK3 MIF NCKAP1L PTK2B RAC2
GO:0002689	negative regulation of leukocyte chemotaxis	MIF
GO:0002690	positive regulation of leukocyte chemotaxis	ADAM10 C1QBP CALR CAMK1D CCL3 CD74 GAS6 MAPK14 MAPK3 NCKAP1L PTK2B RAC2
GO:0002691	regulation of cellular extravasation	FADD
GO:0002693	positive regulation of cellular extravasation	FADD
GO:0002694	regulation of leukocyte activation	ADA AP1G1 AP3B1 AP3D1 CASP3 CBFB CCDC88B CD38 CD47 CD74 CDC42 CLPTM1 CORO1A CSK DNAJA3 DOCK8 EXOSC3 EXOSC6 FADD FLOT2 GAS6 GLMN GRB2 HMGB3 HSPD1 HSPH1 IKZF3 IRF4 LAMP1 LGALS1 LGALS3 MALT1 MIF MSH2 MSH6 MYO18A NCKAP1L PAK1 PAK2 PAWR PNP PRKAR1A PTPN6 RAC2 RASAL3 RPS3 SART1 SASH3 SOD1 STXBP2 SUPT6H SYK TFRC VAMP8 VAV1
GO:0002695	negative regulation of leukocyte activation	CASP3 CD74 GLMN HMGB3 LGALS3 PAWR PRKAR1A PTPN6
GO:0002696	positive regulation of leukocyte activation	ADA AP1G1 AP3B1 AP3D1 CCDC88B CD38 CD47 CD74 CDC42 CORO1A CSK DNAJA3 DOCK8 EXOSC3 EXOSC6 FADD FLOT2 GAS6 GRB2 HSPD1 HSPH1 LAMP1 LGALS1 MALT1 MIF MSH2 MSH6 NCKAP1L PAK1 PAK2 PNP PTPN6 RASAL3 RPS3 SART1 SASH3 SYK TFRC VAMP8 VAV1
GO:0002697	regulation of immune effector process	AP1B1 AP1G1 AP1M1 AP2A1 AP2B1 AP2M1 AP2S1 ATP6V1H B2M BST2 C1QBP CADM1 CD59 CD74 DHX9 DOCK2 EIF2AK2 ELMO1 EXOSC3 EXOSC6 FADD GPI HSPD1 IRF4 LAMP1 LGALS3 MALT1 MAPK14 MAPK3 MIF MSH2 MSH6 MYO18A NPLOC4 PAK2 PHB PQBP1 PRKDC PTPN6 PUM1 RAC2 RPS19 SASH3 SCRIB SEC14L1 SIN3A STAT1 STX7 STXBP2 SUPT6H SYK TFRC VAMP8 VAV1 WAS
GO:0002698	negative regulation of immune effector process	BST2 C1QBP CD59 EIF2AK2 LGALS3 NPLOC4 PRKDC PTPN6 RPS19 SCRIB SEC14L1
GO:0002699	positive regulation of immune effector process	AP1G1 B2M CADM1 CD74 EXOSC3 EXOSC6 FADD GPI HSPD1 LAMP1 MALT1 MAPK14 MAPK3 MIF MSH2 MSH6 MYO18A PHB PUM1 RAC2 RPS19 SASH3 STX7 STXBP2 TFRC VAMP8 VAV1
GO:0002700	regulation of production of molecular mediator of immune response	B2M BST2 CD74 EXOSC3 EXOSC6 GPI MALT1 MAPK14 MAPK3 MIF MSH2 MSH6 PRKDC SASH3 SUPT6H TFRC
GO:0002701	negative regulation of production of molecular mediator of immune response	BST2 PRKDC
GO:0002702	positive regulation of production of molecular mediator of immune response	B2M CD74 EXOSC3 EXOSC6 GPI MALT1 MAPK14 MAPK3 MIF MSH2 MSH6 SASH3 TFRC
GO:0002703	regulation of leukocyte mediated immunity	AP1G1 B2M BST2 CADM1 EXOSC3 EXOSC6 FADD HSPD1 LAMP1 MALT1 MSH2 MSH6 PTPN6 RAC2 SASH3 STX7 STXBP2 SUPT6H SYK TFRC VAMP8 VAV1 WAS
GO:0002704	negative regulation of leukocyte mediated immunity	BST2 PTPN6
GO:0002705	positive regulation of leukocyte mediated immunity	AP1G1 B2M CADM1 EXOSC3 EXOSC6 FADD HSPD1 LAMP1 MALT1 MSH2 MSH6 SASH3 STX7 TFRC VAMP8 VAV1
GO:0002706	regulation of lymphocyte mediated immunity	AP1G1 B2M CADM1 EXOSC3 EXOSC6 FADD HSPD1 LAMP1 MALT1 MSH2 MSH6 PTPN6 SASH3 STX7 SUPT6H TFRC VAV1 WAS
GO:0002707	negative regulation of lymphocyte mediated immunity	PTPN6
GO:0002708	positive regulation of lymphocyte mediated immunity	AP1G1 B2M CADM1 EXOSC3 EXOSC6 FADD HSPD1 LAMP1 MALT1 MSH2 MSH6 SASH3 STX7 TFRC VAV1
GO:0002709	regulation of T cell mediated immunity	B2M FADD HSPD1 MALT1 SASH3 STX7 WAS
GO:0002711	positive regulation of T cell mediated immunity	B2M FADD HSPD1 MALT1 SASH3 STX7
GO:0002712	regulation of B cell mediated immunity	EXOSC3 EXOSC6 MSH2 MSH6 PTPN6 SUPT6H TFRC
GO:0002713	negative regulation of B cell mediated immunity	PTPN6
GO:0002714	positive regulation of B cell mediated immunity	EXOSC3 EXOSC6 MSH2 MSH6 TFRC
GO:0002715	regulation of natural killer cell mediated immunity	AP1G1 CADM1 LAMP1 VAV1
GO:0002717	positive regulation of natural killer cell mediated immunity	AP1G1 CADM1 LAMP1 VAV1
GO:0002718	regulation of cytokine production involved in immune response	B2M BST2 CD74 MALT1 MAPK14 MAPK3 MIF SASH3
GO:0002719	negative regulation of cytokine production involved in immune response	BST2
GO:0002720	positive regulation of cytokine production involved in immune response	B2M CD74 MALT1 MAPK14 MAPK3 MIF SASH3
GO:0002724	regulation of T cell cytokine production	B2M MALT1 SASH3
GO:0002726	positive regulation of T cell cytokine production	B2M MALT1 SASH3
GO:0002730	regulation of dendritic cell cytokine production	BST2
GO:0002731	negative regulation of dendritic cell cytokine production	BST2
GO:0002736	regulation of plasmacytoid dendritic cell cytokine production	BST2
GO:0002737	negative regulation of plasmacytoid dendritic cell cytokine production	BST2
GO:0002739	regulation of cytokine secretion involved in immune response	MAPK14 MAPK3
GO:0002741	positive regulation of cytokine secretion involved in immune response	MAPK14 MAPK3
GO:0002753	cytoplasmic pattern recognition receptor signaling pathway	CASP8 LSM14A RELA RPS27A TAB1
GO:0002755	MyD88-dependent toll-like receptor signaling pathway	HSPD1 RPS27A TAB1
GO:0002756	MyD88-independent toll-like receptor signaling pathway	CASP8 FADD RPS27A TBK1
GO:0002757	immune response-activating signal transduction	ABI1 ACTB ACTG1 ACTR2 ACTR3 ARPC1A ARPC2 ARPC3 ARPC5 BAX BRK1 CASP8 CD38 CDC42 CNPY3 CSK CTSB CTSS CUL1 ELMO1 FADD GRB2 HSP90AA1 HSP90AB1 HSP90B1 HSPD1 ICAM3 LCP2 LGMN LIME1 LSM14A MALT1 MAPK1 MAPK3 MYO1C NCKAP1L NFKB1 PAK1 PAK2 PLCG1 PRKD2 PSMA1 PSMA3 PSMA4 PSMA5 PSMA6 PSMA7 PSMB1 PSMB10 PSMB2 PSMB3 PSMB4 PSMB5 PSMB6 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSMD9 PSME1 PSME2 PSME3 PSMF1 PTPN6 RAF1 RELA RPS27A SKP1 STOML2 SYK TAB1 TBK1 UNC93B1 VAV1 WAS WASF2 WIPF1
GO:0002758	innate immune response-activating signal transduction	CASP8 CNPY3 CTSB CTSS CUL1 FADD HSP90B1 HSPD1 ICAM3 LGMN LSM14A MALT1 NFKB1 PAK1 PAK2 PSMA1 PSMA3 PSMA4 PSMA5 PSMA6 PSMA7 PSMB1 PSMB10 PSMB2 PSMB3 PSMB4 PSMB5 PSMB6 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSMD9 PSME1 PSME2 PSME3 PSMF1 RAF1 RELA RPS27A SKP1 SYK TAB1 TBK1 UNC93B1
GO:0002761	regulation of myeloid leukocyte differentiation	ACIN1 CASP8 CCL3 CD74 EVI2B FADD GNAS HAX1 HCLS1 NME1 PRKCA
GO:0002762	negative regulation of myeloid leukocyte differentiation	CCL3 NME1
GO:0002763	positive regulation of myeloid leukocyte differentiation	ACIN1 CASP8 CD74 EVI2B FADD GNAS HAX1 HCLS1 PRKCA
GO:0002764	immune response-regulating signaling pathway	ABI1 ACTB ACTG1 ACTR2 ACTR3 ARPC1A ARPC2 ARPC3 ARPC5 BAX BRK1 CASP8 CD38 CDC42 CNPY3 CSK CTSB CTSS CUL1 ELMO1 FADD GRB2 HSP90AA1 HSP90AB1 HSP90B1 HSPD1 ICAM3 LCP2 LGMN LIME1 LSM14A MALT1 MAPK1 MAPK3 MYO1C NCKAP1L NFKB1 PAK1 PAK2 PLCG1 PRKD2 PSMA1 PSMA3 PSMA4 PSMA5 PSMA6 PSMA7 PSMB1 PSMB10 PSMB2 PSMB3 PSMB4 PSMB5 PSMB6 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSMD9 PSME1 PSME2 PSME3 PSMF1 PTPN6 RAF1 RELA RPS27A SHC1 SKP1 STOML2 SYK TAB1 TBK1 UNC93B1 VAV1 WAS WASF2 WIPF1
GO:0002768	immune response-regulating cell surface receptor signaling pathway	ABI1 ACTB ACTG1 ACTR2 ACTR3 ARPC1A ARPC2 ARPC3 ARPC5 BAX BRK1 CD38 CDC42 CSK CUL1 ELMO1 GRB2 HSP90AA1 HSP90AB1 ICAM3 LCP2 LIME1 MALT1 MAPK1 MAPK3 MYO1C NCKAP1L NFKB1 PAK1 PAK2 PLCG1 PRKD2 PSMA1 PSMA3 PSMA4 PSMA5 PSMA6 PSMA7 PSMB1 PSMB10 PSMB2 PSMB3 PSMB4 PSMB5 PSMB6 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSMD9 PSME1 PSME2 PSME3 PSMF1 PTPN6 RAF1 RELA RPS27A SHC1 SKP1 STOML2 SYK TAB1 VAV1 WAS WASF2 WIPF1
GO:0002790	peptide secretion	MYO5A PARK7 RAB11B RAB1A RAF1 STXBP3
GO:0002791	regulation of peptide secretion	AIMP1 ARHGEF7 CD38 CD74 CPT1A DYNLL1 ENSA ENY2 HADH KIF5B MARCKS NDUFAF2 OXCT1 PFKL PFKM PHPT1 PRKCA PSMD9 SLC25A4 SLC25A5 SLC25A6 SRI
GO:0002792	negative regulation of peptide secretion	CD74 ENY2 HADH NDUFAF2 PFKL PSMD9
GO:0002793	positive regulation of peptide secretion	AIMP1 ARHGEF7 CD38 DYNLL1 KIF5B OXCT1 PFKM PHPT1 PSMD9 SRI
GO:0002819	regulation of adaptive immune response	ADA B2M CD48 EXOSC3 EXOSC6 FADD HSPD1 MALT1 MSH2 MSH6 PTPN6 SASH3 STX7 SUPT6H TFRC WAS
GO:0002820	negative regulation of adaptive immune response	PTPN6
GO:0002821	positive regulation of adaptive immune response	ADA B2M EXOSC3 EXOSC6 FADD HSPD1 MALT1 MSH2 MSH6 SASH3 STX7 TFRC
GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	ADA B2M EXOSC3 EXOSC6 FADD HSPD1 MALT1 MSH2 MSH6 PTPN6 SASH3 STX7 SUPT6H TFRC WAS
GO:0002823	negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	PTPN6
GO:0002824	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	ADA B2M EXOSC3 EXOSC6 FADD HSPD1 MALT1 MSH2 MSH6 SASH3 STX7 TFRC
GO:0002828	regulation of type 2 immune response	CD74
GO:0002830	positive regulation of type 2 immune response	CD74
GO:0002831	regulation of response to biotic stimulus	AP1B1 AP1G1 AP1M1 AP2A1 AP2B1 AP2M1 AP2S1 ATP6V1H B2M C1QBP DHX9 DOCK2 EIF2AK2 ELMO1 HSPD1 MAPK3 MIF NPLOC4 OPTN PAK2 PQBP1 PRKCA PUM1 SCARB2 SCRIB SEC14L1 SIN3A STAT1 TBK1
GO:0002832	negative regulation of response to biotic stimulus	C1QBP EIF2AK2 NPLOC4 SCRIB SEC14L1
GO:0002833	positive regulation of response to biotic stimulus	HSPD1 MAPK3 MIF OPTN PRKCA PUM1 TBK1
GO:0002834	regulation of response to tumor cell	HSPD1
GO:0002836	positive regulation of response to tumor cell	HSPD1
GO:0002837	regulation of immune response to tumor cell	HSPD1
GO:0002839	positive regulation of immune response to tumor cell	HSPD1
GO:0002840	regulation of T cell mediated immune response to tumor cell	HSPD1
GO:0002842	positive regulation of T cell mediated immune response to tumor cell	HSPD1
GO:0002861	regulation of inflammatory response to antigenic stimulus	PARK7 PSMB4
GO:0002862	negative regulation of inflammatory response to antigenic stimulus	PSMB4
GO:0002863	positive regulation of inflammatory response to antigenic stimulus	PARK7
GO:0002864	regulation of acute inflammatory response to antigenic stimulus	PARK7
GO:0002866	positive regulation of acute inflammatory response to antigenic stimulus	PARK7
GO:0002886	regulation of myeloid leukocyte mediated immunity	RAC2 STXBP2 SYK VAMP8
GO:0002888	positive regulation of myeloid leukocyte mediated immunity	VAMP8
GO:0002889	regulation of immunoglobulin mediated immune response	EXOSC3 EXOSC6 MSH2 MSH6 PTPN6 SUPT6H TFRC
GO:0002890	negative regulation of immunoglobulin mediated immune response	PTPN6
GO:0002891	positive regulation of immunoglobulin mediated immune response	EXOSC3 EXOSC6 MSH2 MSH6 TFRC
GO:0002902	regulation of B cell apoptotic process	ADA BAX CD74 HSH2D MIF NOC2L
GO:0002903	negative regulation of B cell apoptotic process	ADA CD74 HSH2D MIF NOC2L
GO:0002904	positive regulation of B cell apoptotic process	BAX
GO:0002905	regulation of mature B cell apoptotic process	ADA CD74 MIF
GO:0002906	negative regulation of mature B cell apoptotic process	ADA CD74 MIF
GO:0002920	regulation of humoral immune response	C1QBP CD59 PHB PTPN6
GO:0002921	negative regulation of humoral immune response	CD59 PTPN6
GO:0002922	positive regulation of humoral immune response	PHB
GO:0002923	regulation of humoral immune response mediated by circulating immunoglobulin	PTPN6
GO:0002924	negative regulation of humoral immune response mediated by circulating immunoglobulin	PTPN6
GO:0002931	response to ischemia	CIB1 EEF2 HYOU1 PPIF SQSTM1 UCHL1
GO:0002934	desmosome organization	DSG2 PKP2 PRKCA
GO:0002943	tRNA dihydrouridine synthesis	DUS1L
GO:0003002	regionalization	ABI1 BASP1 CRKL FKBP8 GRSF1 NLE1 POFUT1 PRKDC RING1 TRA2B
GO:0003006	developmental process involved in reproduction	ADA AGFG1 ARID1A BAK1 BASP1 BAX BCL2L1 BSG CASP8 CBL CIB1 CSDE1 CTSB DAZAP1 DDX20 DLD DNAJC19 DYNLL1 EIF2B5 EIF2S2 FKBP4 FOXO3 GRB2 HEXB HMGB2 HSD17B4 HSF1 HSP90AB1 IDH1 MAP2K1 MAPK1 MAPK14 MSH2 NASP NSDHL NSUN2 NUP107 PAFAH1B1 PHB2 PRDX3 PRDX4 PRKDC PTK2B RAN RBM15 RPS6 RRM1 SAFB2 SDC1 SF1 SLIRP SMARCA2 SMARCC1 SOD1 SP3 ST14 STK4 STRBP TIAL1 TRIM28 TRIP13 UBE2J1 YTHDF2
GO:0003007	heart morphogenesis	TAB1
GO:0003008	system process	AAAS ACTR2 ADNP AKR1B1 ALDOA ATAD1 ATP1A1 ATP2A2 C12ORF57 CASP3 CBR3 CCDC50 CDC42 CDK5 CLN6 COMT COPA CRYBB1 CYB5R3 DDAH1 DIAPH1 DNAJC19 DNM1L EEF2 EIF4A3 EMD EZR FEN1 GAMT GAS6 GATM GIGYF2 GLS GM2A GMFB GNAS GNB1 GPI GRHPR HEXB HSBP1 ITGB1 ITGB5 JSRP1 KCNAB2 LGMN MAGED2 MAGT1 MAP2K3 MAPK1 MAPK3 MYL6 MYO5A MYO6 NDUFB9 NDUFS6 NOB1 OAT OPA1 PABPN1 PAFAH1B1 PAIP2 PICALM PPT1 PRKAR1A PRKAR2A RABGGTB RAP1GDS1 RCSD1 RIC8A RPL38 SERPINB6 SLC1A4 SLC9A3R1 SOD1 SRSF1 STAT1 STRAP TIMM10 TIMM13 TIMM8B TIMM9 TLN1 TPM3 TPM4 TPP1 UBA6 UCHL1 VCL VDAC1 VDAC3 WDR1 WDR36 WFS1
GO:0003009	skeletal muscle contraction	EEF2 JSRP1 RCSD1
GO:0003012	muscle system process	ALDOA ATP1A1 ATP2A2 EEF2 EMD GAMT GATM HSBP1 ITGB5 JSRP1 MAP2K3 MYL6 NDUFS6 PABPN1 RAP1GDS1 RCSD1 SOD1 SRSF1 TLN1 TPM3 TPM4 VCL
GO:0003013	circulatory system process	CDC42 CYB5R3 DDAH1 DNM1L RAP1GDS1 SOD1 STAT1
GO:0003014	renal system process	AKR1B1 GAS6 LGMN MAGED2 PRKAR1A PRKAR2A SLC9A3R1 WFS1
GO:0003015	heart process	CDC42 DNM1L SOD1
GO:0003018	vascular process in circulatory system	DDAH1 RAP1GDS1
GO:0003062	regulation of heart rate by chemical signal	YWHAE
GO:0003064	regulation of heart rate by hormone	YWHAE
GO:0003071	renal system process involved in regulation of systemic arterial blood pressure	GAS6
GO:0003073	regulation of systemic arterial blood pressure	DDAH1
GO:0003091	renal water homeostasis	AKR1B1 PRKAR1A PRKAR2A WFS1
GO:0003093	regulation of glomerular filtration	GAS6
GO:0003096	renal sodium ion transport	MAGED2 SLC9A3R1
GO:0003104	positive regulation of glomerular filtration	GAS6
GO:0003151	outflow tract morphogenesis	ILK
GO:0003156	regulation of organ formation	GNG5
GO:0003157	endocardium development	STK4
GO:0003158	endothelium development	STK4
GO:0003159	morphogenesis of an endothelium	CSNK2B PRKD2 RHOB
GO:0003161	cardiac conduction system development	CDC42
GO:0003165	Purkinje myocyte development	DSG2
GO:0003205	cardiac chamber development	ARID1A
GO:0003229	ventricular cardiac muscle tissue development	DSG2
GO:0003254	regulation of membrane depolarization	FHL1 HSH2D PARP1 TSPO
GO:0003264	regulation of cardioblast proliferation	GNG5
GO:0003266	regulation of secondary heart field cardioblast proliferation	GNG5
GO:0003279	cardiac septum development	AP2B1 DCTN5 DNM2 TAB1
GO:0003281	ventricular septum development	AP2B1 DCTN5 DNM2
GO:0003299	muscle hypertrophy in response to stress	ATP2A2
GO:0003300	cardiac muscle hypertrophy	ATP2A2
GO:0003333	amino acid transmembrane transport	SLC1A4 SLC3A2
GO:0003334	keratinocyte development	CDC42 SFN
GO:0003339	regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis	STAT1
GO:0003340	negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis	STAT1
GO:0003360	brainstem development	ATIC GART
GO:0003366	cell-matrix adhesion involved in ameboidal cell migration	ITGB7
GO:0003373	dynamin polymerization involved in membrane fission	DNM1L
GO:0003374	dynamin polymerization involved in mitochondrial fission	DNM1L
GO:0003376	sphingosine-1-phosphate signaling pathway	EZR
GO:0003382	epithelial cell morphogenesis	BASP1 CLIC4 PELO ST14
GO:0003407	neural retina development	ACTL6A SMARCA4
GO:0003408	optic cup formation involved in camera-type eye development	ARID1A
GO:0003420	regulation of growth plate cartilage chondrocyte proliferation	POR
